ID;Nº veces alquilado
13551272;21
17842668;0
8436621;18
17772989;0
2176371;186
16355342;2
17207898;5
3613384;76
628394;24
1779465;6
7986124;187
14735348;33
878296;94
11954336;2
4317754;20
848480;34
2652829;163
13164881;8
17846628;1
17095308;11
16856445;8
5453576;9
5702879;27
16523780;0
17076430;8
13341044;34
18092575;0
17269163;1
17503479;0
11670784;8
11771955;28
5229507;6
4055217;26
12068435;9
13878024;49
12697537;4
6013074;0
17285106;5
17411297;0
5254973;12
3318664;51
8229285;83
17469764;1
4655244;40
7045152;4
16248615;1
16712007;2
2122124;5
16302994;0
3591352;9
17250141;3
1170520;1
17375540;0
14369169;4
15606318;4
4290526;26
8105067;47
9639826;0
16506085;1
9101359;6
11500544;3
17281535;0
14263212;1
16685013;7
13342949;7
15394829;1
16772487;20
18002838;0
13313141;6
16800218;4
10539504;12
4945181;61
17362059;1
9288847;2
13277971;0
15444216;0
7278537;20
15505213;0
758823;126
13219664;12
6207702;1
15587893;46
15606231;11
8668938;49
6848207;0
347510;35
13957225;9
9213885;6
7673930;6
3906393;16
887776;26
6791493;36
10762912;6
6955446;0
3383663;10
13372624;8
13448255;16
1310289;0
14799631;3
10078316;8
15753499;10
16876870;7
1599909;15
11138479;3
7505759;7
1395084;10
14567582;17
16293797;12
6835710;3
14740998;10
17022073;3
7658837;0
5343327;11
8627585;11
12971758;8
6588037;12
16255539;0
14278486;31
16139575;0
8368543;8
11695163;0
16166838;3
17961770;0
17965232;0
11166173;23
5975073;193
9247362;21
17435676;0
1547100;15
605339;87
17742143;0
17959926;0
7283030;0
12004814;21
9319228;0
16876906;9
11185674;2
14915131;0
14416601;0
4398316;27
16629117;6
3028017;3
18002677;0
799569;126
4403428;15
339144;123
3517921;15
15542212;5
3613705;33
6661646;75
201033;33
13667341;0
10094029;62
15403365;0
13646689;45
972765;344
16982763;0
8532086;9
17834811;1
4871004;3
12531269;29
16199273;0
12723390;0
17961687;0
17957621;0
12831788;7
207275;4
11655788;0
23021;43
16570085;1
13046342;1
1968452;0
1752926;0
17508905;0
15405815;6
17214927;0
1791390;4
13703870;0
13733410;1
16944511;1
4742118;129
2917180;126
6848088;13
13726000;0
13337867;5
4754971;0
12419683;81
6820638;80
1182242;90
3467177;124
17836002;0
13236017;4
8351488;8
2997184;47
7091146;78
10063731;22
15332078;39
838712;133
16696959;2
4647096;5
12165576;29
14953970;0
2378468;0
10699486;5
2134070;26
17961854;0
13137604;2
15373339;3
17904831;1
11180610;15
15998593;2
16032097;0
15533592;5
5974365;19
17903850;0
18086118;0
15965880;6
13814821;2
13664039;0
2200811;1
6207409;3
13908191;12
16203444;0
3686364;96
1534472;16
4932463;7
13897721;28
8712264;34
15967309;0
17711893;0
16375547;0
11050061;2
1947860;2
4155781;4
14055712;99
17458281;4
5192121;4
7015650;1
15738285;1
13917359;27
16681868;4
15276411;9
13374540;0
794947;0
7730071;39
9911497;28
506956;67
16239986;5
1768577;6
13859122;0
10164106;8
14409816;5
4684786;1
13955061;13
15652496;12
14435426;0
4564037;13
10604960;0
13321234;5
8447151;1
2915447;4
10536769;3
11797917;104
7083735;4
12185821;0
1237601;114
691458;17
7953287;17
16825258;2
11541553;2
11001199;53
12909846;7
15647125;0
14018815;7
18084538;0
5358575;10
16990792;0
3421569;6
13684962;12
1937891;0
15434573;28
2915276;7
5438198;26
9348776;0
13884958;4
11774416;7
9296334;1
12355841;3
1593079;102
17606703;0
15673502;2
15285184;0
11905261;4
17872175;0
16702659;2
10400966;25
16465447;26
15534373;27
15416020;43
3263722;6
7458297;0
9358260;1
179528;26
2103634;31
13320183;36
12377020;1
3387950;109
12667814;1
10692632;1
9903565;48
7161550;15
13505202;0
1207407;43
17584746;0
17310272;0
17293495;0
15882443;1
12301496;1
3268123;11
13244834;7
18444663;0
10408377;83
13202379;32
9398946;0
9069607;77
11385505;0
9644752;101
1946167;3
3911337;9
4158807;0
4182034;33
7632942;0
12425095;5
13730144;15
2336550;3
10507110;8
12236464;6
11354583;15
16891620;3
3744628;0
17324452;3
9896133;30
17260620;0
1274889;12
6474674;0
18046744;0
4197765;3
16211119;8
13056308;9
15481960;11
9583178;2
6754925;0
8350653;49
17525729;0
13896922;5
13732915;1
13540303;0
17878606;0
13669622;4
8109345;2
6051032;0
3601198;0
16823469;1
11174396;52
17743685;1
6925759;3
5045372;103
14356759;27
6568756;96
16632512;0
14136984;5
7660436;0
2820570;21
8246010;7
11776123;0
13632109;53
15156675;6
14819428;2
9391265;14
4435713;16
6670853;2
17933698;0
11342179;19
9409097;16
16974614;3
16473932;6
8211594;0
12506480;0
16069259;0
10723462;6
11544990;16
3019886;1
6322780;4
17617503;0
13755533;17
9752401;0
15786811;0
6758025;9
8772214;141
4509891;4
15787492;0
11736181;0
14882313;0
1507595;29
4447697;0
12704170;0
17921755;0
528607;0
4912382;2
14495975;0
17945081;0
11372548;44
17599840;0
16411092;0
17636420;0
13268289;51
13567680;0
6542538;15
9839248;0
9787800;43
10562092;5
18307970;0
17674745;0
15580085;4
15095901;2
996321;36
15693634;0
11906591;30
993524;46
12120875;0
2854100;62
17873922;0
12459666;68
3832596;1
14758697;5
14328364;1
9730522;1
16686088;2
5352524;2
13274176;2
6772980;2
15231742;22
14856071;1
15353471;9
6655155;95
12321786;5
12878869;5
774328;14
1137823;86
6010550;54
8841799;1
4838000;1
17415818;4
13634220;5
12867870;0
16292029;29
13536543;34
14156949;1
5723766;6
14245049;0
14740834;0
13660079;2
16184471;5
7758395;0
17208734;0
6322099;1
16768927;12
11365268;7
18051264;0
17845968;0
12008311;6
9601378;62
14888694;1
14177112;1
9206737;6
18045577;0
13911741;1
12886714;1
914057;4
3833696;16
8826607;0
17315191;2
16749266;0
15851973;0
18051655;0
17185918;6
136058;42
663761;4
18056104;0
11708403;0
9035207;41
4843020;181
7783777;90
755535;9
9848841;1
761098;20
16287124;2
17749296;0
14039408;117
3240547;48
15533007;2
14565087;3
17131753;0
16440440;2
17282467;2
16475037;0
462072;27
9263387;11
8755504;50
16320249;16
17373928;7
1353121;0
3422282;6
15448611;11
12858520;10
16724152;7
17378294;5
961181;1
4075286;32
16393881;3
